12343;Merry Liu;F;78.000000;65.000000;83.000000
15689;Baby Angla;F;53.700001;36.900002;48.000000
12569;Babala Wendy;F;36.000000;56.000000;85.000000
16325;Andy Wang;N;75.300003;63.500000;83.900002
78965;Wenyu Zhang;M;0.000000;78.000000;0.000000
13297;Julia Mei Guan;F;69.000000;85.000000;74.000000
13256;Benjanming Wang;M;96.000000;89.000000;68.000000
14526;Emy Wang Liu;F;75.000000;74.000000;82.000000
14295;David Wu;M;80.000000;74.000000;91.000000
14697;Fraklin Jiang;M;75.300003;69.800003;90.099998
10002;Meimei Han;F;85.300003;96.199997;74.300003
10021; Peter Liu;M;95.900002;68.000000;87.000000
